old_sha	new_sha	date	subject
e97369f9f096853517b21b1311b4b66a8b8bcd33	921bd97cce6de4c933e4073922ca74b56fbeb9e7	2026-06-28	📝 Docs(baram): 전략 PRD 작성 (#138)
aa470353ca66220995919311dbff42ff8205c990	830b1699f8f2facce0d15db6331bcd1fb9f97a0a	2026-06-28	📝 Docs(baram): 데이터 모델링 설계서 작성 (#139)
0d582bfd5c438e4dee59ca55da36d9abe33cc5d3	5aa86be62df14e80498ade4cfb4791eb5cd3bf85	2026-06-28	docs(baram): Perplexity 리서치 1회차 반영 (#140)
40baf6417beb09688cf172f79954110fd6e97a6a	93e59dac16fecca6a96b3d6cc55c02a376d5efe6	2026-06-28	docs(baram): 2차 Perplexity 질문 패키지 작성 (#144)
4a8ac3623705770ab1bc58b09c199605ce472972	ecdad7c41b58a283492f04871a4bb3bca7e467fa	2026-06-28	docs(baram): Perplexity 2차 결과 반입 (#146)
f42e8a0f931795b1904216653f9b3e9deb8b6bae	01a60cbc8ef156d0053ac5d587447135a3330eb3	2026-06-28	docs(baram): 운영 마스터플랜 작성 (#148)
ff5b3e541abec1999e6c0073729d563958ccbd83	0c46c2f1d15f418f9f378590fa3267bdc019c517	2026-07-06	📝 Docs(baram): 최종 설계서 작성 (#165)
e75e355f8d8557d86de60c736659c7a09eea0136	acf6172df90686f2e78474527229224b18f3b4c9	2026-07-06	📝 Docs(baram): LLM 위키 구조 정리 (#166)
af8007bed7fd2f4ff1d44e15c198a6b8334ffb75	5136ce15c009b9b5cfee862cd6af364bdb479b9c	2026-07-06	📝 Docs(baram): Perplexity 한국어 프롬프트 갱신 (#167)
c9e3bffbdc41417508333787fcf638c95d049188	39475dabe3697a5d300de21f1de135b2890d44cf	2026-07-06	📝 Docs: P3 리서치 결과 LLM Wiki 반입 (#168)
92dbf2794bb95c362fe41200dd0ff46aad17d57b	b2c1e9e3c5baec2a7642b84444ea417cde352383	2026-07-06	✨ Feat: 공식 평가 산식 재현 모듈 추가 (#169)
20ea68b0cceafa44dfc655054efbf013d5026490	2eaa557a456d111312374245428584b968454775	2026-07-06	📝 Docs: 공식 베이스라인 재현 분석 노트북 추가 (#170)
47a0c7ce61ff024dbe118a880252df91e2381368	91e3172b3e349497317b901bb134dc19bbf132bd	2026-07-06	📝 Docs: metric 재현 분석 노트북 보강 (#171)
36a138342c1c40b94912b247835a24b357fab153	d2c4af97b7b0260ad72efb2d2713d19573f4227d	2026-07-06	📝 Docs: 분석 노트북 해석과 표 렌더링 보강 (#172)
b791ec8ed54dc9f34ed67d428b3def79b5adb414	b4236b67236617d2d7c06ba5ce1e9c28fcd46aa1	2026-07-06	📝 Docs: 공식 데이터 감사 노트북 추가 (#173)
bb34dc850fd106fc6fcc94988ad440bf5ccdabd4	28e6b53205e7e767574f98d8b70517b5ead2e58a	2026-07-07	✨ Feat: baseline 학습/추론 분리 (#174)
7031945bdff1913fb854658c81c6e8480db939bd	8fd831647501215de4e3028010f36dab3e8c2974	2026-07-07	✨ Feat: BARAM baseline 재현성 ledger 연결 (#175)
e2c69bb09d9c78004968a970c500af7bc6529cbb	e08a943fa9a8c2441e663881cf45c6ad46fbb4cc	2026-07-07	✨ Feat: BARAM submission validator CLI 추가 (#176)
6cea0c4f7edd70fb0d40f63f4029dfc97998fe79	97003785af6b49e52aa07a5db31a6100573898d2	2026-07-07	📝 Docs: BARAM 03 노트북 마크다운 복구 (#177)
32deb43e71d33c9d5c3269f2bee19aaf19e3e300	0669babb64f17f63062f97b1cb9495a66ac07c79	2026-07-11	✨ Feat: BARAM model metadata와 run registry 추가 (#178)
